#Horizon flight at 1000psi - Booster Pod A
#10th August 2024
time,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
s,feet,f/s,feet,f/s,e,e,e,e,e,e
0,8,160,1.6,32,0,0,0,0,0,0
0.05,24,320,6.08,89.6,0,0,0,0,0,0
0.1,50,520,14.86,175.68,0,0,0,0,0,0
0.15,89,780,29.69,296.54,89,0,0,0,0,0
0.2,141,1040,51.95,445.24,0,0,0,0,0,0
0.25,176,700,76.76,496.19,0,0,0,0,0,0
0.3,206,600,102.61,516.95,0,0,0,0,0,0
0.35,232,520,128.49,517.56,0,0,0,0,0,0
0.4,257,500,154.19,514.05,0,0,0,0,0,0
0.45,275,360,178.35,483.24,0,0,0,0,0,0
0.5,295,400,201.68,466.59,0,0,0,0,0,0
0.55,315,400,224.35,453.27,0,0,0,0,0,0
0.6,333,360,246.08,434.62,0,0,0,0,0,0
0.65,349,320,266.66,411.69,0,0,0,0,0,0
0.7,368,380,286.93,405.36,0,0,0,0,0,0
0.75,386,360,306.74,396.28,0,0,0,0,0,0
0.8,403,340,325.99,385.03,0,0,0,0,0,0
0.85,419,320,344.6,372.02,0,0,0,0,0,0
0.9,433,280,362.28,353.62,0,0,0,0,0,0
0.95,445,240,378.82,330.89,0,0,0,0,0,0
1,460,300,395.06,324.72,0,0,0,0,0,0
1.05,472,240,410.45,307.77,0,0,0,0,0,0
1.1,487,300,425.76,306.22,0,0,0,0,0,0
1.15,500,260,440.61,296.97,0,0,0,0,0,0
1.2,514,280,455.28,293.58,0,0,0,0,0,0
1.25,530,320,470.23,298.86,0,0,0,0,0,0
1.3,551,420,486.38,323.09,0,0,0,0,0,0
1.35,573,440,503.71,346.47,0,0,0,0,0,0
1.4,612,780,525.36,433.18,0,0,0,0,0,0
1.45,618,120,543.89,370.54,0,0,0,0,0,0
1.5,620,40,559.11,304.43,0,0,0,0,0,0
1.55,621,20,571.49,247.55,0,0,0,0,0,0
1.6,623,40,581.79,206.04,0,0,0,0,0,0
1.65,626,60,590.63,176.83,0,0,0,0,0,0
1.7,630,80,598.51,157.46,0,0,0,0,0,0
1.75,634,80,605.61,141.97,0,0,0,0,0,0
1.8,644,200,613.28,153.58,0,0,0,0,0,0
1.85,653,180,621.23,158.86,0,0,0,0,0,0
1.9,664,220,629.78,171.09,0,0,0,0,0,0
1.95,675,220,638.83,180.87,0,0,0,0,0,0
2,684,180,647.86,180.7,0,0,0,0,0,0
2.05,696,240,657.49,192.56,0,0,0,0,0,0
2.1,707,220,667.39,198.05,0,0,0,0,0,0
