#Horizon flight at 1000psi - Booster Pod B
#10th August 2024
time,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
s,feet,f/s,feet,f/s,e,e,e,e,e,e
0,4,80,0.8,16,0,0,0,0,0,0
0.05,11,140,2.84,40.8,0,0,0,0,0,0
0.1,25,280,7.27,88.64,0,0,0,0,0,0
0.15,47,440,15.22,158.91,0,0,0,0,0,0
0.2,75,560,27.17,239.13,75,0,0,0,0,0
0.25,104,580,42.54,307.3,0,0,0,0,0,0
0.3,131,540,60.23,353.84,0,0,0,0,0,0
0.35,165,680,81.19,419.07,0,0,0,0,0,0
0.4,195,600,103.95,455.26,0,0,0,0,0,0
0.45,219,480,126.96,460.21,0,0,0,0,0,0
0.5,244,500,150.37,468.17,0,0,0,0,0,0
0.55,268,480,173.89,470.53,0,0,0,0,0,0
0.6,291,460,197.31,468.43,0,0,0,0,0,0
0.65,308,340,219.45,442.74,0,0,0,0,0,0
0.7,326,360,240.76,426.19,0,0,0,0,0,0
0.75,341,300,260.81,400.95,0,0,0,0,0,0
0.8,357,320,280.05,384.76,0,0,0,0,0,0
0.85,373,320,298.64,371.81,0,0,0,0,0,0
0.9,389,320,316.71,361.45,0,0,0,0,0,0
0.95,404,300,334.17,349.16,0,0,0,0,0,0
1,420,320,351.33,343.33,0,0,0,0,0,0
1.05,434,280,367.87,330.66,0,0,0,0,0,0
1.1,450,320,384.29,328.53,0,0,0,0,0,0
1.15,463,260,400.04,314.82,0,0,0,0,0,0
1.2,477,280,415.43,307.86,0,0,0,0,0,0
1.25,490,260,430.34,298.29,0,0,0,0,0,0
1.3,498,160,443.87,270.63,0,0,0,0,0,0
1.35,527,580,460.5,332.5,0,0,0,0,0,0
1.4,563,720,481,410,0,0,0,0,0,0
1.45,570,140,498.8,356,0,0,0,0,0,0
1.5,571,20,513.24,288.8,0,0,0,0,0,0
1.55,573,40,525.19,239.04,0,0,0,0,0,0
1.6,577,80,535.55,207.23,0,0,0,0,0,0
1.65,584,140,545.24,193.79,0,0,0,0,0,0
1.7,592,160,554.59,187.03,0,0,0,0,0,0
1.75,599,140,563.48,177.62,0,0,0,0,0,0
1.8,610,220,572.78,186.1,0,0,0,0,0,0
1.85,620,200,582.22,188.88,0,0,0,0,0,0
1.9,632,240,592.18,199.1,0,0,0,0,0,0
1.95,643,220,602.34,203.28,0,0,0,0,0,0
2,654,220,612.67,206.63,0,0,0,0,0,0
2.05,664,200,622.94,205.3,0,0,0,0,0,0
2.1,675,220,633.35,208.24,0,0,0,0,0,0
2.15,685,200,643.68,206.59,0,0,0,0,0,0
2.2,698,260,654.55,217.27,0,0,0,0,0,0
2.25,707,180,665.04,209.82,0,0,0,0,0,0
2.3,719,240,675.83,215.86,0,0,0,0,0,0
2.35,729,200,686.46,212.68,0,0,0,0,0,0
2.4,738,180,696.77,206.15,0,0,0,0,0,0
2.45,749,220,707.22,208.92,0,0,0,0,0,0
2.5,755,120,716.77,191.13,0,0,0,0,0,0
2.55,765,200,726.42,192.91,0,0,0,0,0,0
2.6,775,200,736.13,194.33,0,0,0,0,0,0
2.65,785,200,745.91,195.46,0,0,0,0,0,0
2.7,795,200,755.73,196.37,0,0,0,0,0,0
2.75,804,180,765.38,193.09,0,0,0,0,0,0
2.8,813,180,774.9,190.48,0,0,0,0,0,0
2.85,822,180,784.32,188.38,0,0,0,0,0,0
2.9,832,200,793.86,190.7,0,0,0,0,0,0
2.95,840,160,803.09,184.56,0,0,0,0,0,0
3,849,180,812.27,183.65,0,0,0,0,0,0
3.05,859,200,821.62,186.92,0,0,0,0,0,0
3.1,866,140,830.49,177.54,0,0,0,0,0,0
3.15,874,160,839.19,174.03,0,0,0,0,0,0
3.2,883,180,847.96,175.22,0,0,0,0,0,0
3.25,891,160,856.56,172.18,0,0,0,0,0,0
3.3,898,140,864.85,165.74,0,0,0,0,0,0
3.35,906,160,873.08,164.59,0,0,0,0,0,0
3.4,914,160,881.26,163.68,0,0,0,0,0,0
3.45,922,160,889.41,162.94,0,0,0,0,0,0
