T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
0.00,8.00,160.00,1.60,32.00,0,0,0,0,0,0
0.05,24.00,320.00,6.08,89.60,0,0,0,0,0,0
0.10,50.00,520.00,14.86,175.68,0,0,0,0,0,0
0.15,89.00,780.00,29.69,296.54,89,0,0,0,0,0
0.20,141.00,1040.00,51.95,445.24,0,0,0,0,0,0
0.25,176.00,700.00,76.76,496.19,0,0,0,0,0,0
0.30,206.00,600.00,102.61,516.95,0,0,0,0,0,0
0.35,232.00,520.00,128.49,517.56,0,0,0,0,0,0
0.40,257.00,500.00,154.19,514.05,0,0,0,0,0,0
0.45,275.00,360.00,178.35,483.24,0,0,0,0,0,0
0.50,295.00,400.00,201.68,466.59,0,0,0,0,0,0
0.55,315.00,400.00,224.35,453.27,0,0,0,0,0,0
0.60,333.00,360.00,246.08,434.62,0,0,0,0,0,0
0.65,349.00,320.00,266.66,411.69,0,0,0,0,0,0
0.70,368.00,380.00,286.93,405.36,0,0,0,0,0,0
0.75,386.00,360.00,306.74,396.28,0,0,0,0,0,0
0.80,403.00,340.00,325.99,385.03,0,0,0,0,0,0
0.85,419.00,320.00,344.60,372.02,0,0,0,0,0,0
0.90,433.00,280.00,362.28,353.62,0,0,0,0,0,0
0.95,445.00,240.00,378.82,330.89,0,0,0,0,0,0
1.00,460.00,300.00,395.06,324.72,0,0,0,0,0,0
1.05,472.00,240.00,410.45,307.77,0,0,0,0,0,0
1.10,487.00,300.00,425.76,306.22,0,0,0,0,0,0
1.15,500.00,260.00,440.61,296.97,0,0,0,0,0,0
1.20,514.00,280.00,455.28,293.58,0,0,0,0,0,0
1.25,530.00,320.00,470.23,298.86,0,0,0,0,0,0
1.30,551.00,420.00,486.38,323.09,0,0,0,0,0,0
1.35,573.00,440.00,503.71,346.47,0,0,0,0,0,0
1.40,612.00,780.00,525.36,433.18,0,0,0,0,0,0
1.45,618.00,120.00,543.89,370.54,0,0,0,0,0,0
1.50,620.00,40.00,559.11,304.43,0,0,0,0,0,0
1.55,621.00,20.00,571.49,247.55,0,0,0,0,0,0
1.60,623.00,40.00,581.79,206.04,0,0,0,0,0,0
1.65,626.00,60.00,590.63,176.83,0,0,0,0,0,0
1.70,630.00,80.00,598.51,157.46,0,0,0,0,0,0
1.75,634.00,80.00,605.61,141.97,0,0,0,0,0,0
1.80,644.00,200.00,613.28,153.58,0,0,0,0,0,0
1.85,653.00,180.00,621.23,158.86,0,0,0,0,0,0
1.90,664.00,220.00,629.78,171.09,0,0,0,0,0,0
1.95,675.00,220.00,638.83,180.87,0,0,0,0,0,0
2.00,684.00,180.00,647.86,180.70,0,0,0,0,0,0
2.05,696.00,240.00,657.49,192.56,0,0,0,0,0,0
2.10,707.00,220.00,667.39,198.05,0,0,0,0,0,0
2.15,716.00,180.00,677.11,194.44,0,0,0,0,0,0
2.20,723.00,140.00,686.29,183.55,0,0,0,0,0,0
2.25,733.00,200.00,695.63,186.84,0,0,0,0,0,0
2.30,744.00,220.00,705.31,193.47,0,0,0,0,0,0
2.35,754.00,200.00,715.04,194.78,0,0,0,0,0,0
2.40,763.00,180.00,724.64,191.82,0,0,0,0,0,0
2.45,774.00,220.00,734.51,197.46,0,0,0,0,0,0
2.50,781.00,140.00,743.81,185.97,0,0,0,0,0,0
2.55,791.00,200.00,753.25,188.77,0,0,0,0,0,0
2.60,798.00,140.00,762.20,179.02,0,0,0,0,0,0
2.65,809.00,220.00,771.56,187.21,0,0,0,0,0,0
2.70,817.00,160.00,780.65,181.77,0,0,0,0,0,0
2.75,827.00,200.00,789.92,185.42,0,0,0,0,0,0
2.80,834.00,140.00,798.73,176.33,0,0,0,0,0,0
2.85,843.00,180.00,807.59,177.07,0,0,0,0,0,0
2.90,851.00,160.00,816.27,173.65,0,0,0,0,0,0
2.95,860.00,180.00,825.02,174.92,0,0,0,0,0,0
3.00,869.00,180.00,833.81,175.94,0,0,0,0,0,0
3.05,878.00,180.00,842.65,176.75,0,0,0,0,0,0
