#Horizon flight at 1000psi,,,,,
#10th August 2024,,,,,
time,altitude f,temperature,Voltage,speed,speed averaged
s,feet,F,V,f/s,f/s
0,1,87.1,8.2,0,0
0.05,1,87.1,8.2,0,0
0.1,1,87.1,8.2,0,6.666666667
0.15,2,87.1,8.2,20,-6.666666667
0.2,0,87.1,8.2,-40,6.666666667
0.25,2,87.1,8.2,40,-6.666666667
0.3,1,87.1,8.2,-20,6.666666667
0.35,1,87.1,8.2,0,-6.666666667
0.4,1,87.1,8.2,0,0
0.45,1,87.1,8.2,0,0
0.5,1,87.1,8.2,0,6.666666667
0.55,2,87.1,8.2,20,13.33333333
0.6,3,87.1,8.2,20,-6.666666667
0.65,0,87.1,8.2,-60,6.666666667
0.7,3,87.1,8.2,60,-20
0.75,0,87.1,8.2,-60,6.666666667
0.8,1,87.1,8.2,20,-13.33333333
0.85,1,87.1,8.2,0,46.66666667
0.9,7,87.1,8.2,120,106.6666667
0.95,17,87.1,8.2,200,20
1,4,87.1,8.2,-260,80
1.05,19,87.1,8.2,300,46.66666667
1.1,24,87.1,8.2,100,193.3333333
1.15,33,87.1,8.2,180,220
1.2,52,87.1,8.2,380,266.6666667
1.25,64,87.1,8.2,240,366.6666667
1.3,88,87.1,8.2,480,420
1.35,115,87.1,8.2,540,866.6666667
1.4,194,87.1,8.2,1580,860
1.45,217,87.1,8.2,460,973.3333333
1.5,261,87.1,8.2,880,600
1.55,284,87.1,8.2,460,600
1.6,307,87.1,8.2,460,406.6666667
1.65,322,87.1,8.2,300,380
1.7,341,87.1,8.2,380,266.6666667
1.75,347,87.1,8.2,120,306.6666667
1.8,368,87.1,8.2,420,293.3333333
1.85,385,87.1,8.2,340,306.6666667
1.9,393,87.1,8.2,160,260
1.95,407,87.1,8.2,280,286.6666667
2,428,87.1,8.2,420,246.6666667
2.05,430,87.1,8.2,40,240
2.1,443,87.1,8.2,260,180
2.15,455,87.1,8.2,240,240
2.2,466,87.1,8.2,220,326.6666667
2.25,492,87.1,8.2,520,286.6666667
2.3,498,87.1,8.2,120,-713.3333333
2.35,359,87.1,8.2,-2780,-1140
2.4,321,87.1,8.2,-760,-1353.333333
2.45,295,87.1,8.2,-520,-640
2.5,263,87.1,8.2,-640,-740
2.55,210,87.1,8.2,-1060,-1060
2.6,136,87.1,8.2,-1480,-1240
2.65,77,87.1,8.2,-1180,-746.6666667
2.7,98,87.1,8.2,420,-940
2.75,-5,87.1,8.2,-2060,-486.6666667
2.8,4,87.1,8.2,180,-653.3333333
2.85,0,87.1,8.2,-80,166.6666667
2.9,20,87.1,8.2,400,200
2.95,34,87.1,8.2,280,86.66666667
3,13,87.1,8.2,-420,373.3333333
3.05,76,87,8.2,1260,560
3.1,118,87.1,8.2,840,1066.666667
3.15,173,87.1,8.2,1100,800
3.2,196,87.1,8.2,460,886.6666667
3.25,251,87,8.2,1100,866.6666667
3.3,303,87.1,8.2,1040,1020
3.35,349,87.1,8.2,920,973.3333333
3.4,397,87.1,8.2,960,1180
3.45,480,87.1,8.2,1660,1253.333333
3.5,537,87.1,8.2,1140,1486.666667
3.55,620,87.1,8.2,1660,1406.666667
3.6,691,87,8.2,1420,1406.666667
3.65,748,87.1,8.2,1140,1320
3.7,818,87.1,8.2,1400,1226.666667
3.75,875,87.1,8.2,1140,1140
3.8,919,87.1,8.2,880,1053.333333
3.85,976,87.1,8.2,1140,1020
3.9,1028,87.1,8.2,1040,1006.666667
3.95,1070,87.1,8.2,840,946.6666667
4,1118,87.1,8.2,960,953.3333333
4.05,1171,87.1,8.2,1060,1106.666667
4.1,1236,87.1,8.2,1300,1053.333333
4.15,1276,87,8.2,800,1013.333333
4.2,1323,87.1,8.2,940,860
4.25,1365,87.1,8.2,840,940
4.3,1417,87.1,8.2,1040,960
4.35,1467,87.1,8.2,1000,953.3333333
4.4,1508,87.1,8.2,820,886.6666667
4.45,1550,87.1,8.2,840,853.3333333
4.5,1595,87.1,8.2,900,846.6666667
4.55,1635,87.1,8.2,800,880
4.6,1682,87.1,8.2,940,840
4.65,1721,87.1,8.2,780,840
4.7,1761,87.1,8.2,800,813.3333333
4.75,1804,87.1,8.2,860,806.6666667
4.8,1842,87.1,8.2,760,780
4.85,1878,87.1,8.2,720,753.3333333
4.9,1917,87.1,8.2,780,786.6666667
4.95,1960,87.1,8.2,860,780
5,1995,87.1,8.2,700,766.6666667
5.05,2032,87.1,8.2,740,740
5.1,2071,87.1,8.2,780,706.6666667
5.15,2101,87.1,8.2,600,706.6666667
5.2,2138,87.1,8.2,740,653.3333333
5.25,2169,87.1,8.2,620,773.3333333
5.3,2217,87.1,8.2,960,746.6666667
5.35,2250,87.1,8.2,660,740
5.4,2280,87.1,8.2,600,640
5.45,2313,87.1,8.2,660,626.6666667
5.5,2344,87.1,8.2,620,726.6666667
5.55,2389,87.1,8.2,900,686.6666667
5.6,2416,87.1,8.2,540,706.6666667
5.65,2450,87.1,8.2,680,626.6666667
5.7,2483,87.1,8.2,660,640
5.75,2512,87.1,8.2,580,626.6666667
5.8,2544,87.1,8.2,640,646.6666667
5.85,2580,87.1,8.2,720,666.6666667
5.9,2612,87.1,8.2,640,660
5.95,2643,87.1,8.2,620,606.6666667
6,2671,87.1,8.2,560,633.3333333
6.05,2707,87.1,8.2,720,633.3333333
6.1,2738,87.1,8.2,620,620
6.15,2764,87.1,8.2,520,560
6.2,2791,87.1,8.2,540,573.3333333
6.25,2824,87.1,8.2,660,553.3333333
6.3,2847,87.1,8.2,460,613.3333333
6.35,2883,87.1,8.2,720,566.6666667
6.4,2909,87.1,8.2,520,600
6.45,2937,87.1,8.2,560,566.6666667
6.5,2968,87.1,8.2,620,566.6666667
6.55,2994,87.1,8.2,520,546.6666667
6.6,3019,87.1,8.2,500,500
6.65,3043,87.1,8.2,480,486.6666667
6.7,3067,87.1,8.2,480,506.6666667
6.75,3095,87.1,8.2,560,506.6666667
6.8,3119,87.1,8.2,480,540
6.85,3148,87.1,8.2,580,506.6666667
6.9,3171,87.1,8.2,460,773.3333333
6.95,3235,87.1,8.2,1280,713.3333333
7,3255,87.1,8.2,400,693.3333333
7.05,3275,87.1,8.2,400,393.3333333
7.1,3294,87.1,8.2,380,413.3333333
7.15,3317,87.1,8.2,460,373.3333333
7.2,3331,87.1,8.2,280,440
7.25,3360,87.1,8.2,580,413.3333333
7.3,3379,87.1,8.2,380,493.3333333
7.35,3405,87.1,8.2,520,426.6666667
7.4,3424,87.1,8.2,380,446.6666667
7.45,3446,87.1,8.2,440,460
7.5,3474,87.1,8.2,560,473.3333333
7.55,3495,87.1,8.2,420,520
7.6,3524,87.1,8.2,580,420
7.65,3537,87.1,8.2,260,386.6666667
7.7,3553,87.1,8.2,320,320
7.75,3572,87.1,8.2,380,426.6666667
7.8,3601,87.1,8.2,580,440
7.85,3619,87.1,8.2,360,466.6666667
7.9,3642,87.1,8.2,460,360
7.95,3655,87.1,8.2,260,420
8,3682,87.1,8.2,540,433.3333333
