#Horizon flight at 1000psi,,,
#10th August 2024,,,
time,altitude f,speed,speed averaged
s,feet,f/s,f/s
0,1,0,0
0.05,1,0,0
0.1,1,0,6.666666667
0.15,2,20,-6.666666667
0.2,0,-40,6.666666667
0.25,2,40,-6.666666667
0.3,1,-20,6.666666667
0.35,1,0,-6.666666667
0.4,1,0,0
0.45,1,0,0
0.5,1,0,6.666666667
0.55,2,20,13.33333333
0.6,3,20,-6.666666667
0.65,0,-60,6.666666667
0.7,3,60,-20
0.75,0,-60,6.666666667
0.8,1,20,-13.33333333
0.85,1,0,46.66666667
0.9,7,120,106.6666667
0.95,17,200,20
1,4,-260,80
1.05,19,300,46.66666667
1.1,24,100,193.3333333
1.15,33,180,220
1.2,52,380,266.6666667
1.25,64,240,366.6666667
1.3,88,480,420
1.35,115,540,866.6666667
1.4,194,1580,860
1.45,217,460,973.3333333
1.5,261,880,600
1.55,284,460,600
1.6,307,460,406.6666667
1.65,322,300,380
1.7,341,380,266.6666667
1.75,347,120,306.6666667
1.8,368,420,293.3333333
1.85,385,340,306.6666667
1.9,393,160,260
1.95,407,280,286.6666667
2,428,420,246.6666667
2.05,430,40,240
2.1,443,260,180
2.15,455,240,240
2.2,466,220,228.8888887
2.25,477.3333333,226.666666,224.4444447
2.3,488.6666667,226.666668,226.6666667
2.35,500,226.666666,291.1111113
2.4,521,420,355.5555553
2.45,542,420,340
2.5,551,180,260
2.55,560,180,180
2.6,569,180,428.8888887
2.65,615.3333333,926.666666,677.777778
2.7,661.6666667,926.666668,926.6666667
2.75,708,926.666666,884.4444447
2.8,748,800,842.222222
2.85,788,800,800
2.9,828,800,800
2.95,868,800,776.6666667
3,904.5,730,753.3333333
3.05,941,730,730
3.1,977.5,730,730
3.15,1014,730,763.3333333
3.2,1055.5,830,796.6666667
3.25,1097,830,830
3.3,1138.5,830,830
3.35,1180,830,831.6666667
3.4,1221.75,835,833.3333333
3.45,1263.5,835,835
3.5,1305.25,835,835
3.55,1347,835,823.3333333
3.6,1387,800,811.6666667
3.65,1427,800,800
3.7,1467,800,800
3.75,1507,800,775
3.8,1543.25,725,750
3.85,1579.5,725,725
3.9,1615.75,725,725
3.95,1652,725,726.6666667
4,1688.5,730,728.3333333
4.05,1725,730,730
4.1,1761.5,730,730
4.15,1798,730,718.3333333
4.2,1832.75,695,706.6666667
4.25,1867.5,695,695
4.3,1902.25,695,695
4.35,1937,695,683.3333333
4.4,1970,660,671.6666667
4.45,2003,660,660
4.5,2036,660,660
4.55,2069,660,671.6666667
4.6,2103.75,695,683.3333333
4.65,2138.5,695,695
4.7,2173.25,695,695
4.75,2208,695,660
4.8,2237.5,590,625
4.85,2267,590,590
4.9,2296.5,590,590
4.95,2326,590,592
5,2355.8,596,594
5.05,2385.6,596,596
5.1,2415.4,596,596
5.15,2445.2,596,596
5.2,2475,596,596
5.25,2504.8,596,596
5.3,2534.6,596,596
5.35,2564.4,596,596
5.4,2594.2,596,596
5.45,2624,596,578
5.5,2651.1,542,560
5.55,2678.2,542,542
5.6,2705.3,542,542
5.65,2732.4,542,542
5.7,2759.5,542,542
5.75,2786.6,542,542
5.8,2813.7,542,542
5.85,2840.8,542,542
5.9,2867.9,542,542
